marker_number	male_position	female_position
3	0.000	0.000
4	0.000	0.000
5	0.000	0.000
6	0.000	0.000
7	0.000	0.000
17	0.000	0.000
20	0.000	0.000
21	0.000	0.000
23	0.284	0.284
25	0.284	0.284
27	0.284	0.284
31	0.284	0.284
35	0.284	0.284
40	0.284	0.284
41	0.284	0.284
42	0.284	0.284
43	0.284	0.284
45	0.284	0.284
46	0.284	0.284
48	0.568	0.568
50	0.568	0.568
51	0.568	0.568
52	0.568	0.568
53	0.568	0.568
57	1.136	1.136
59	3.977	3.977
60	3.977	3.977
62	3.977	3.977
63	3.977	3.977
64	3.977	3.977
70	3.977	3.977
71	3.977	3.977
72	3.977	3.977
73	3.977	3.977
74	3.977	3.977
75	4.261	4.261
78	4.261	4.261
79	4.545	4.545
83	4.545	4.545
88	4.545	4.545
89	4.545	4.545
90	4.545	4.545
91	4.545	4.545
92	4.545	4.545
95	4.545	4.545
96	4.545	4.545
97	4.545	4.545
100	4.545	4.545
101	4.545	4.545
108	4.545	4.545
111	4.545	4.545
114	4.545	4.545
115	4.545	4.545
121	4.545	4.545
122	4.545	4.545
123	4.545	4.545
127	4.830	4.830
128	4.830	4.830
129	4.830	4.830
130	4.830	4.830
131	4.830	4.830
132	5.114	5.114
133	5.114	5.114
134	5.114	5.114
135	5.114	5.114
136	5.114	5.114
137	5.114	5.114
138	5.114	5.114
139	5.398	5.398
142	5.398	5.398
143	5.398	5.398
144	5.398	5.398
145	5.398	5.398
146	5.398	5.398
147	5.398	5.398
148	5.398	5.398
149	5.398	5.398
150	5.398	5.398
151	5.398	5.398
152	5.398	5.398
153	5.398	5.398
157	5.398	5.398
158	5.966	5.966
159	5.966	5.966
162	5.966	5.966
169	7.386	7.386
170	7.386	7.386
175	7.386	7.386
177	7.386	7.386
179	7.386	7.386
184	7.386	7.386
188	8.523	8.523
193	8.807	8.807
194	8.807	8.807
195	8.807	8.807
196	8.807	8.807
198	8.807	8.807
199	8.807	8.807
201	8.807	8.807
203	8.807	8.807
204	8.807	8.807
205	8.807	8.807
206	8.807	8.807
207	8.807	8.807
208	8.807	8.807
209	8.807	8.807
210	8.807	8.807
212	8.807	8.807
213	8.807	8.807
214	8.807	8.807
215	8.807	8.807
216	8.807	8.807
225	8.807	8.807
227	8.807	8.807
233	8.807	8.807
236	8.807	8.807
237	8.807	8.807
247	8.807	8.807
256	9.091	9.091
266	9.091	9.091
268	9.091	9.091
269	9.091	9.091
270	9.091	9.091
271	9.091	9.091
272	9.091	9.091
277	9.091	9.091
279	9.091	9.091
280	9.091	9.091
281	9.091	9.091
282	9.091	9.091
283	9.091	9.091
284	9.091	9.091
285	9.091	9.091
286	9.091	9.091
288	9.375	9.375
289	9.375	9.375
290	9.375	9.375
291	9.375	9.375
297	9.375	9.375
299	9.375	9.375
300	9.375	9.375
301	9.375	9.375
303	9.375	9.375
304	9.375	9.375
305	9.375	9.375
306	9.375	9.375
307	9.375	9.375
310	9.375	9.375
311	9.375	9.375
313	9.375	9.375
314	9.375	9.375
316	9.375	9.375
317	9.375	9.375
320	9.375	9.375
321	9.375	9.375
322	9.375	9.375
