CHR	POS
Sp34_Chr1	64425
Sp34_Chr1	64539
Sp34_Chr1	64552
Sp34_Chr1	64604
Sp34_Chr1	64608
Sp34_Chr1	64609
Sp34_Chr1	64654
Sp34_Chr1	98530
Sp34_Chr1	98534
Sp34_Chr1	98536
Sp34_Chr1	105317
Sp34_Chr1	105352
Sp34_Chr1	105399
Sp34_Chr1	105427
Sp34_Chr1	105502
Sp34_Chr1	105529
Sp34_Chr1	164491
Sp34_Chr1	384430
Sp34_Chr1	384447
Sp34_Chr1	384478
Sp34_Chr1	384479
Sp34_Chr1	385659
Sp34_Chr1	385697
Sp34_Chr1	385739
Sp34_Chr1	389806
Sp34_Chr1	389905
Sp34_Chr1	389949
Sp34_Chr1	389984
Sp34_Chr1	389994
Sp34_Chr1	389996
Sp34_Chr1	390017
Sp34_Chr1	390062
Sp34_Chr1	390066
Sp34_Chr1	390067
Sp34_Chr1	390075
Sp34_Chr1	390090
Sp34_Chr1	390133
Sp34_Chr1	390142
Sp34_Chr1	390144
Sp34_Chr1	390152
Sp34_Chr1	390285
Sp34_Chr1	390303
Sp34_Chr1	390334
Sp34_Chr1	390336
Sp34_Chr1	390338
Sp34_Chr1	390350
Sp34_Chr1	390351
Sp34_Chr1	390410
Sp34_Chr1	392545
Sp34_Chr1	392560
Sp34_Chr1	392570
Sp34_Chr1	392618
Sp34_Chr1	392619
Sp34_Chr1	392635
Sp34_Chr1	421803
Sp34_Chr1	425066
Sp34_Chr1	425082
Sp34_Chr1	425190
Sp34_Chr1	425496
Sp34_Chr1	425532
Sp34_Chr1	425584
Sp34_Chr1	425594
Sp34_Chr1	425605
Sp34_Chr1	425614
Sp34_Chr1	425838
Sp34_Chr1	425840
Sp34_Chr1	425962
Sp34_Chr1	446085
Sp34_Chr1	446155
Sp34_Chr1	446209
Sp34_Chr1	455754
Sp34_Chr1	455766
Sp34_Chr1	480166
Sp34_Chr1	480214
Sp34_Chr1	480218
Sp34_Chr1	480226
Sp34_Chr1	480304
Sp34_Chr1	480453
Sp34_Chr1	480844
Sp34_Chr1	480847
Sp34_Chr1	480848
Sp34_Chr1	487052
Sp34_Chr1	487085
Sp34_Chr1	487119
Sp34_Chr1	487120
Sp34_Chr1	487126
Sp34_Chr1	487138
Sp34_Chr1	487165
Sp34_Chr1	487198
Sp34_Chr1	487199
Sp34_Chr1	487201
Sp34_Chr1	487206
Sp34_Chr1	487210
Sp34_Chr1	487234
Sp34_Chr1	488122
Sp34_Chr1	488176
Sp34_Chr1	488181
Sp34_Chr1	488201
Sp34_Chr1	488265
Sp34_Chr1	488283
Sp34_Chr1	488284
Sp34_Chr1	499088
Sp34_Chr1	499164
Sp34_Chr1	499168
Sp34_Chr1	499169
Sp34_Chr1	499204
Sp34_Chr1	499237
Sp34_Chr1	504185
Sp34_Chr1	504186
Sp34_Chr1	508408
Sp34_Chr1	508434
Sp34_Chr1	508483
Sp34_Chr1	508700
Sp34_Chr1	508703
Sp34_Chr1	527888
Sp34_Chr1	542755
Sp34_Chr1	542788
Sp34_Chr1	542861
Sp34_Chr1	544736
Sp34_Chr1	544803
Sp34_Chr1	544836
Sp34_Chr1	544837
Sp34_Chr1	544841
Sp34_Chr1	545802
Sp34_Chr1	545852
Sp34_Chr1	583960
Sp34_Chr1	583988
Sp34_Chr1	584087
Sp34_Chr1	584191
Sp34_Chr1	584997
Sp34_Chr1	585016
Sp34_Chr1	585067
Sp34_Chr1	585090
Sp34_Chr1	601209
Sp34_Chr1	601215
Sp34_Chr1	601225
Sp34_Chr1	601233
Sp34_Chr1	601238
Sp34_Chr1	601241
Sp34_Chr1	601242
Sp34_Chr1	601261
Sp34_Chr1	601264
Sp34_Chr1	601271
Sp34_Chr1	601273
Sp34_Chr1	601278
Sp34_Chr1	601279
Sp34_Chr1	601284
Sp34_Chr1	601290
Sp34_Chr1	601302
Sp34_Chr1	601310
Sp34_Chr1	601312
Sp34_Chr1	601314
Sp34_Chr1	601315
Sp34_Chr1	601320
Sp34_Chr1	601337
Sp34_Chr1	601338
Sp34_Chr1	601345
Sp34_Chr1	601348
Sp34_Chr1	601369
Sp34_Chr1	601396
Sp34_Chr1	601407
Sp34_Chr1	601412
Sp34_Chr1	601414
Sp34_Chr1	601421
Sp34_Chr1	601432
Sp34_Chr1	601467
Sp34_Chr1	601469
Sp34_Chr1	610072
Sp34_Chr1	610090
Sp34_Chr1	610097
Sp34_Chr1	610110
Sp34_Chr1	610154
Sp34_Chr1	610162
Sp34_Chr1	610209
Sp34_Chr1	610222
Sp34_Chr1	610289
Sp34_Chr1	619108
Sp34_Chr1	619122
Sp34_Chr1	619179
Sp34_Chr1	620193
Sp34_Chr1	620224
Sp34_Chr1	620230
Sp34_Chr1	620257
Sp34_Chr1	620306
Sp34_Chr1	620326
Sp34_Chr1	620349
Sp34_Chr1	620362
Sp34_Chr1	620369
Sp34_Chr1	620409
Sp34_Chr1	620415
Sp34_Chr1	621585
Sp34_Chr1	621606
Sp34_Chr1	621675
Sp34_Chr1	621676
Sp34_Chr1	621797
Sp34_Chr1	650945
Sp34_Chr1	654697
Sp34_Chr1	654736
Sp34_Chr1	654760
Sp34_Chr1	654781
Sp34_Chr1	654832
Sp34_Chr1	654949
Sp34_Chr1	654977
Sp34_Chr1	654995
Sp34_Chr1	655114
Sp34_Chr1	655147
Sp34_Chr1	655475
Sp34_Chr1	655732
Sp34_Chr1	655738
Sp34_Chr1	655740
Sp34_Chr1	655743
Sp34_Chr1	655745
Sp34_Chr1	655754
Sp34_Chr1	655761
Sp34_Chr1	655829
Sp34_Chr1	655847
Sp34_Chr1	655961
Sp34_Chr1	655983
Sp34_Chr1	655994
Sp34_Chr1	656001
Sp34_Chr1	656002
Sp34_Chr1	658084
Sp34_Chr1	658091
Sp34_Chr1	696748
Sp34_Chr1	696750
Sp34_Chr1	696795
Sp34_Chr1	696851
Sp34_Chr1	696857
Sp34_Chr1	696859
Sp34_Chr1	696868
Sp34_Chr1	696873
Sp34_Chr1	696879
Sp34_Chr1	696908
Sp34_Chr1	696921
Sp34_Chr1	696962
Sp34_Chr1	696965
Sp34_Chr1	702700
Sp34_Chr1	702768
Sp34_Chr1	702816
Sp34_Chr1	702843
Sp34_Chr1	724881
Sp34_Chr1	724927
Sp34_Chr1	724965
Sp34_Chr1	724972
Sp34_Chr1	724981
Sp34_Chr1	724983
Sp34_Chr1	725020
Sp34_Chr1	725026
Sp34_Chr1	725073
Sp34_Chr1	726245
Sp34_Chr1	726332
Sp34_Chr1	726420
Sp34_Chr1	726440
Sp34_Chr1	726444
Sp34_Chr1	726450
Sp34_Chr1	726464
Sp34_Chr1	735064
Sp34_Chr1	735079
Sp34_Chr1	746250
Sp34_Chr1	746297
Sp34_Chr1	746318
Sp34_Chr1	746325
Sp34_Chr1	756190
Sp34_Chr1	756203
Sp34_Chr1	757639
Sp34_Chr1	757650
Sp34_Chr1	757662
Sp34_Chr1	765617
Sp34_Chr1	765730
Sp34_Chr1	774141
Sp34_Chr1	774171
Sp34_Chr1	774250
Sp34_Chr1	774258
Sp34_Chr1	774259
Sp34_Chr1	774267
