marker_number	male_position	female_position
8	0.000	0.000
10	0.000	0.000
11	0.000	0.000
12	0.000	0.000
13	0.000	0.000
14	0.000	0.000
15	0.284	0.284
16	0.284	0.284
17	0.284	0.284
18	0.284	0.284
22	0.568	0.568
23	0.568	0.568
24	0.568	0.568
25	0.568	0.568
28	0.568	0.568
29	0.568	0.568
30	0.852	0.852
32	0.852	0.852
33	0.852	0.852
35	0.852	0.852
36	0.852	0.852
37	0.852	0.852
38	0.852	0.852
43	0.852	0.852
44	0.852	0.852
45	0.852	0.852
50	0.852	0.852
57	1.136	1.136
58	1.136	1.136
59	1.705	1.705
77	1.705	1.705
88	2.557	2.557
89	2.557	2.557
90	2.557	2.557
91	2.557	2.557
92	2.557	2.557
100	5.114	5.114
101	5.114	5.114
106	5.114	5.114
107	5.114	5.114
127	5.398	5.398
130	5.398	5.398
131	5.398	5.398
136	5.398	5.398
137	5.398	5.398
140	5.398	5.398
141	5.398	5.398
143	5.398	5.398
144	5.398	5.398
145	5.398	5.398
146	5.398	5.398
147	5.398	5.398
148	5.398	5.398
149	5.398	5.398
150	5.398	5.398
152	5.398	5.398
153	5.398	5.398
154	5.398	5.398
155	5.398	5.398
160	5.398	5.398
172	5.398	5.398
179	5.398	5.398
180	5.398	5.398
181	5.398	5.398
182	5.398	5.398
185	5.398	5.398
189	5.398	5.398
197	5.398	5.398
198	5.398	5.398
202	5.398	5.398
203	5.398	5.398
205	5.398	5.398
207	5.398	5.398
212	6.250	6.250
213	6.250	6.250
214	6.250	6.250
215	6.250	6.250
216	6.250	6.250
220	6.250	6.250
226	6.250	6.250
232	6.250	6.250
234	6.250	6.250
236	6.250	6.250
239	6.250	6.250
240	6.250	6.250
241	6.250	6.250
242	6.250	6.250
243	6.250	6.250
244	6.250	6.250
253	6.534	6.534
254	6.534	6.534
256	6.818	6.818
257	6.818	6.818
258	6.818	6.818
259	6.818	6.818
260	6.818	6.818
261	6.818	6.818
262	6.818	6.818
263	6.818	6.818
265	6.818	6.818
266	6.818	6.818
267	6.818	6.818
268	6.818	6.818
269	6.818	6.818
276	6.818	6.818
277	6.818	6.818
278	6.818	6.818
279	6.818	6.818
280	6.818	6.818
281	6.818	6.818
283	6.818	6.818
285	6.818	6.818
286	6.818	6.818
287	6.818	6.818
288	6.818	6.818
289	6.818	6.818
290	6.818	6.818
291	6.818	6.818
292	6.818	6.818
293	6.818	6.818
294	6.818	6.818
295	6.818	6.818
296	6.818	6.818
297	6.818	6.818
298	6.818	6.818
299	6.818	6.818
300	6.818	6.818
301	6.818	6.818
303	6.818	6.818
304	6.818	6.818
305	6.818	6.818
306	6.818	6.818
307	6.818	6.818
308	6.818	6.818
309	6.818	6.818
310	7.102	7.102
311	7.102	7.102
312	7.102	7.102
313	7.102	7.102
317	7.386	7.386
323	7.386	7.386
324	7.386	7.386
329	7.386	7.386
333	7.386	7.386
335	7.386	7.386
336	7.386	7.386
337	7.386	7.386
339	7.386	7.386
340	7.386	7.386
341	7.386	7.386
342	7.386	7.386
344	7.386	7.386
347	7.386	7.386
348	7.386	7.386
351	7.386	7.386
352	7.386	7.386
354	7.386	7.386
362	7.386	7.386
366	7.386	7.386
368	7.386	7.386
369	7.386	7.386
370	7.386	7.386
372	7.386	7.386
373	7.386	7.386
374	7.386	7.386
376	7.386	7.386
377	7.386	7.386
378	7.386	7.386
379	7.386	7.386
380	7.386	7.386
381	7.386	7.386
382	7.386	7.386
386	7.386	7.386
388	7.386	7.386
391	7.386	7.386
393	7.386	7.386
394	7.386	7.386
395	7.386	7.386
396	7.386	7.386
397	7.386	7.386
398	7.386	7.386
401	7.386	7.386
402	7.386	7.386
416	7.386	7.386
422	7.386	7.386
423	7.386	7.386
424	7.386	7.386
428	7.386	7.386
429	7.386	7.386
430	7.386	7.386
433	7.386	7.386
434	7.386	7.386
435	7.386	7.386
436	7.386	7.386
441	7.386	7.386
443	7.386	7.386
450	7.386	7.386
451	7.386	7.386
452	7.386	7.386
456	7.386	7.386
462	7.386	7.386
463	7.386	7.386
465	7.386	7.386
466	7.386	7.386
469	7.386	7.386
470	7.386	7.386
471	7.386	7.386
472	7.386	7.386
473	7.386	7.386
474	7.386	7.386
476	7.670	7.670
478	7.670	7.670
486	7.670	7.670
491	7.670	7.670
499	7.670	7.670
500	7.670	7.670
501	7.670	7.670
502	7.670	7.670
506	7.955	7.955
508	7.955	7.955
509	11.080	11.080
514	11.080	11.080
515	11.080	11.080
516	11.080	11.080
517	11.080	11.080
518	11.080	11.080
519	11.080	11.080
520	11.080	11.080
521	11.080	11.080
522	11.080	11.080
523	11.080	11.080
524	11.080	11.080
525	11.080	11.080
