marker_number	male_position	female_position
1	0.000	0.000
3	0.000	0.000
4	0.000	0.000
5	0.000	0.000
9	0.000	0.000
10	0.000	0.000
11	0.000	0.000
12	0.000	0.000
19	0.000	0.000
20	0.000	0.000
22	0.000	0.000
23	0.000	0.000
25	0.000	0.000
27	0.000	0.000
32	0.000	0.000
33	0.000	0.000
36	0.000	0.000
40	0.000	0.000
41	0.000	0.000
42	0.000	0.000
43	0.000	0.000
44	0.000	0.000
45	0.000	0.000
46	0.000	0.000
47	0.000	0.000
48	0.000	0.000
49	0.000	0.000
50	0.000	0.000
51	0.000	0.000
52	0.000	0.000
53	0.284	0.284
54	0.284	0.284
55	0.284	0.284
56	0.284	0.284
57	0.284	0.284
58	0.284	0.284
59	0.284	0.284
60	0.284	0.284
61	0.284	0.284
62	0.284	0.284
63	0.284	0.284
64	0.284	0.284
65	0.568	0.568
66	0.568	0.568
67	0.568	0.568
68	0.568	0.568
74	0.568	0.568
75	0.568	0.568
76	0.568	0.568
77	0.568	0.568
78	0.568	0.568
79	0.568	0.568
81	0.568	0.568
89	0.568	0.568
93	0.568	0.568
94	0.568	0.568
95	0.568	0.568
97	0.568	0.568
98	0.568	0.568
99	0.568	0.568
100	0.568	0.568
102	0.568	0.568
103	0.568	0.568
104	0.568	0.568
105	0.568	0.568
106	0.568	0.568
107	0.568	0.568
108	0.568	0.568
109	0.568	0.568
120	0.568	0.568
121	0.568	0.568
122	0.568	0.568
123	0.568	0.568
125	0.568	0.568
126	0.568	0.568
127	0.568	0.568
128	0.568	0.568
131	0.568	0.568
132	0.568	0.568
133	0.568	0.568
134	0.568	0.568
137	0.568	0.568
138	0.568	0.568
139	0.568	0.568
140	0.568	0.568
142	0.568	0.568
144	0.568	0.568
146	0.568	0.568
147	0.568	0.568
148	0.568	0.568
150	0.568	0.568
151	0.568	0.568
152	0.568	0.568
153	0.568	0.568
154	0.568	0.568
155	0.568	0.568
156	0.568	0.568
157	0.568	0.568
158	0.568	0.568
159	0.568	0.568
160	0.568	0.568
161	0.568	0.568
162	0.568	0.568
163	0.568	0.568
164	0.568	0.568
166	0.568	0.568
177	0.568	0.568
180	0.568	0.568
181	0.568	0.568
190	0.568	0.568
202	0.568	0.568
203	0.568	0.568
209	0.568	0.568
210	0.568	0.568
211	0.568	0.568
213	0.568	0.568
218	0.568	0.568
219	0.568	0.568
221	0.568	0.568
223	0.568	0.568
224	0.568	0.568
226	0.568	0.568
227	0.568	0.568
228	0.568	0.568
229	0.568	0.568
230	0.568	0.568
232	0.568	0.568
233	0.568	0.568
234	0.568	0.568
235	0.568	0.568
236	0.568	0.568
240	0.568	0.568
242	0.568	0.568
244	0.568	0.568
245	0.568	0.568
246	0.568	0.568
247	0.568	0.568
248	0.568	0.568
249	0.568	0.568
250	0.568	0.568
251	0.568	0.568
252	0.568	0.568
253	0.568	0.568
254	0.568	0.568
255	0.568	0.568
256	0.568	0.568
257	0.568	0.568
258	0.568	0.568
259	0.568	0.568
260	0.568	0.568
261	0.568	0.568
262	0.568	0.568
263	0.568	0.568
264	0.568	0.568
265	0.568	0.568
266	0.568	0.568
272	0.568	0.568
273	0.568	0.568
274	0.568	0.568
275	0.568	0.568
276	0.568	0.568
277	0.568	0.568
278	0.568	0.568
279	0.568	0.568
280	0.568	0.568
282	0.568	0.568
283	0.568	0.568
286	0.568	0.568
288	0.568	0.568
289	0.568	0.568
290	0.568	0.568
291	0.568	0.568
292	0.568	0.568
294	0.568	0.568
295	0.568	0.568
297	0.568	0.568
300	0.568	0.568
301	0.568	0.568
302	0.568	0.568
303	0.568	0.568
304	0.568	0.568
307	0.568	0.568
308	0.568	0.568
318	0.568	0.568
319	0.568	0.568
320	0.568	0.568
321	0.568	0.568
322	0.568	0.568
323	0.568	0.568
324	0.568	0.568
325	0.568	0.568
326	0.568	0.568
327	0.568	0.568
338	0.568	0.568
339	0.568	0.568
340	0.568	0.568
341	0.568	0.568
342	0.568	0.568
343	0.568	0.568
344	0.568	0.568
345	0.568	0.568
346	0.568	0.568
348	0.568	0.568
349	0.568	0.568
350	0.568	0.568
352	0.568	0.568
358	0.568	0.568
361	0.568	0.568
362	0.568	0.568
363	0.568	0.568
364	0.568	0.568
365	0.568	0.568
366	0.568	0.568
367	0.568	0.568
368	0.568	0.568
369	0.568	0.568
370	0.568	0.568
371	0.568	0.568
372	0.568	0.568
373	0.568	0.568
374	0.568	0.568
376	0.568	0.568
377	0.568	0.568
378	0.568	0.568
379	0.568	0.568
380	0.568	0.568
381	0.568	0.568
382	0.568	0.568
383	0.568	0.568
384	0.568	0.568
390	0.568	0.568
391	0.568	0.568
392	0.568	0.568
393	0.568	0.568
394	0.568	0.568
395	0.568	0.568
396	0.568	0.568
397	0.568	0.568
400	0.568	0.568
402	0.568	0.568
403	0.568	0.568
412	0.568	0.568
413	0.568	0.568
415	0.568	0.568
416	0.568	0.568
417	0.568	0.568
418	0.568	0.568
419	0.568	0.568
420	0.568	0.568
421	0.568	0.568
422	0.568	0.568
423	0.568	0.568
424	0.568	0.568
425	0.568	0.568
426	0.568	0.568
427	0.568	0.568
428	0.568	0.568
429	0.568	0.568
430	0.568	0.568
431	0.568	0.568
432	0.568	0.568
433	0.568	0.568
434	0.568	0.568
435	0.568	0.568
436	0.568	0.568
438	0.568	0.568
439	0.568	0.568
440	0.568	0.568
441	0.568	0.568
445	0.568	0.568
446	0.568	0.568
447	0.568	0.568
448	0.568	0.568
449	0.568	0.568
450	0.568	0.568
451	0.568	0.568
452	0.568	0.568
453	0.568	0.568
454	0.568	0.568
455	0.568	0.568
456	0.568	0.568
457	0.568	0.568
475	0.568	0.568
477	0.568	0.568
498	0.568	0.568
504	0.568	0.568
508	0.568	0.568
509	0.568	0.568
510	0.568	0.568
511	0.568	0.568
512	0.568	0.568
513	0.568	0.568
