marker_number	male_position	female_position
1	0.000	0.000
2	0.000	0.000
3	0.000	0.000
4	0.000	0.000
12	0.000	0.000
13	0.000	0.000
15	0.000	0.000
17	0.000	0.000
18	0.000	0.000
19	0.000	0.000
20	0.000	0.000
21	0.000	0.000
22	0.000	0.000
23	0.000	0.000
24	0.000	0.000
25	0.000	0.000
26	0.000	0.000
28	0.284	0.284
29	0.284	0.284
30	0.284	0.284
31	0.284	0.284
32	0.284	0.284
33	0.284	0.284
34	0.284	0.284
35	0.284	0.284
36	0.284	0.284
37	0.284	0.284
38	0.284	0.284
39	0.284	0.284
40	0.284	0.284
41	0.284	0.284
43	0.284	0.284
46	0.284	0.284
49	0.284	0.284
50	0.284	0.284
52	0.284	0.284
53	0.284	0.284
54	0.284	0.284
57	0.284	0.284
58	0.284	0.284
60	0.284	0.284
62	0.284	0.284
63	0.284	0.284
65	0.284	0.284
66	0.284	0.284
67	0.284	0.284
68	0.284	0.284
69	0.284	0.284
70	0.284	0.284
71	0.284	0.284
72	0.284	0.284
73	0.284	0.284
74	0.284	0.284
75	0.284	0.284
76	0.284	0.284
77	0.284	0.284
78	0.284	0.284
79	0.284	0.284
80	0.284	0.284
81	0.284	0.284
82	0.284	0.284
83	0.284	0.284
84	0.284	0.284
85	0.284	0.284
86	0.284	0.284
87	0.284	0.284
88	0.284	0.284
89	0.284	0.284
90	0.284	0.284
91	0.284	0.284
92	0.284	0.284
93	0.284	0.284
94	0.284	0.284
95	0.284	0.284
96	0.284	0.284
97	0.284	0.284
98	0.284	0.284
99	0.284	0.284
100	0.284	0.284
101	0.284	0.284
102	0.284	0.284
103	0.284	0.284
104	0.284	0.284
105	0.284	0.284
106	0.284	0.284
107	0.284	0.284
108	0.284	0.284
109	0.284	0.284
110	0.284	0.284
111	0.284	0.284
112	0.284	0.284
113	0.284	0.284
114	0.284	0.284
115	0.284	0.284
116	0.284	0.284
117	0.284	0.284
118	0.284	0.284
119	0.568	0.568
120	0.568	0.568
121	0.568	0.568
122	0.568	0.568
123	0.568	0.568
124	0.568	0.568
125	0.568	0.568
126	0.568	0.568
127	0.568	0.568
128	0.568	0.568
129	0.568	0.568
130	0.568	0.568
131	4.545	4.545
132	4.545	4.545
133	4.545	4.545
134	4.545	4.545
135	4.545	4.545
136	4.545	4.545
137	4.545	4.545
138	4.545	4.545
